type,title,parent,description,acceptance,iteration
User Story,US-14 – Alerta por retraso,Alertas automáticas,Como supervisor quiero recibir alertas de retraso para tomar decisiones.,"Comparar tiempo estimado vs real.
Crear entidad alerta.
Registrar alerta.
Mostrar alerta en dashboard.",Sprint 6
Task,Comparar tiempo estimado vs real,US-14 – Alerta por retraso,,,Sprint 6
Task,Crear entidad alerta,US-14 – Alerta por retraso,,,Sprint 6
Task,Registrar alerta,US-14 – Alerta por retraso,,,Sprint 6
Task,Mostrar alerta en dashboard,US-14 – Alerta por retraso,,,Sprint 6
User Story,US-15 – Vehículos inactivos,Alertas automáticas,Como supervisor quiero identificar vehículos inactivos para mejorar la utilización de la flotilla.,"Consulta vehículos sin viajes.
Mostrar reporte.",Sprint 6
Task,Consulta vehículos sin viajes,US-15 – Vehículos inactivos,,,Sprint 6
Task,Mostrar reporte,US-15 – Vehículos inactivos,,,Sprint 6
Epic,Dashboard operativo,,,,
Feature,Indicadores,Dashboard operativo,,,
User Story,US-16 – Dashboard principal,Indicadores,Como gerente operativo quiero ver el dashboard principal para monitorear KPIs.,"Endpoint KPIs.
Viajes del día.
Viajes finalizados.
Viajes retrasados.
Vehículos activos.",Sprint 7
Task,Endpoint KPIs,US-16 – Dashboard principal,,,Sprint 7
Task,Viajes del día,US-16 – Dashboard principal,,,Sprint 7
Task,Viajes finalizados,US-16 – Dashboard principal,,,Sprint 7
Task,Viajes retrasados,US-16 – Dashboard principal,,,Sprint 7
Task,Vehículos activos,US-16 – Dashboard principal,,,Sprint 7
User Story,US-17 – Indicador cumplimiento rutas,Indicadores,Como supervisor quiero ver el indicador de cumplimiento para evaluar eficiencia operativa.,"Calcular cumplimiento.
Endpoint reporte.
Gráfica frontend.",Sprint 7
Task,Calcular cumplimiento,US-17 – Indicador cumplimiento rutas,,,Sprint 7
Task,Endpoint reporte,US-17 – Indicador cumplimiento rutas,,,Sprint 7
Task,Gráfica frontend,US-17 – Indicador cumplimiento rutas,,,Sprint 7
Epic,Reportería,,,,
Feature,Reportes operativos,Reportería,,,
User Story,US-18 – Reporte de viajes,Reportes operativos,Como supervisor quiero generar reportes de viajes para analizar la operación.,"Endpoint reporte.
Filtros.
Exportación CSV.",Sprint 8
Task,Endpoint reporte,US-18 – Reporte de viajes,,,Sprint 8
Task,Filtros,US-18 – Reporte de viajes,,,Sprint 8
Task,Exportación CSV,US-18 – Reporte de viajes,,,Sprint 8
User Story,US-19 – Reporte de retrasos,Reportes operativos,Como gerente quiero consultar reportes de retrasos para identificar causas recurrentes.,"Consulta viajes retrasados.
Filtro fechas.",Sprint 8
Task,Consulta viajes retrasados,US-19 – Reporte de retrasos,,,Sprint 8
Task,Filtro fechas,US-19 – Reporte de retrasos,,,Sprint 8
Epic,Auditoría,,,,
Feature,Bitácora del sistema,Auditoría,,,
User Story,US-20 – Registro de acciones,Bitácora del sistema,Como administrador quiero auditar acciones del sistema para tener trazabilidad.,"Crear entidad auditoria.
Registrar acciones.
Consulta auditoría.",Sprint 9
Task,Crear entidad auditoria,US-20 – Registro de acciones,,,Sprint 9
Task,Registrar acciones,US-20 – Registro de acciones,,,Sprint 9
Task,Consulta auditoría,US-20 – Registro de acciones,,,Sprint 9
